topology,n_runs,n_seeds,contagion_radius,contagion_radius_lo,contagion_radius_hi,contagion_radius_n,peak_prevalence,peak_prevalence_lo,peak_prevalence_hi,peak_prevalence_n,mean_first_passage,mean_first_passage_lo,mean_first_passage_hi,mean_first_passage_n,t_saturation,t_saturation_lo,t_saturation_hi,t_saturation_n,max_hops,max_hops_lo,max_hops_hi,max_hops_n,persisted,persisted_lo,persisted_hi,persisted_n,persistence_rounds,persistence_rounds_lo,persistence_rounds_hi,persistence_rounds_n,recovered,recovered_lo,recovered_hi,recovered_n,recovery_time,recovery_time_lo,recovery_time_hi,recovery_time_n,final_prevalence,final_prevalence_lo,final_prevalence_hi,final_prevalence_n,clean_acc_delta,clean_acc_delta_lo,clean_acc_delta_hi,clean_acc_delta_n,total_messages,total_messages_lo,total_messages_hi,total_messages_n
star,30,5,0.4619047619047619,0.40476190476190477,0.5,30,0.5291666666666667,0.4791666666666667,0.5625,30,4.644603174603175,3.7474603174603174,5.969206349206349,18,8.866666666666665,6.2666666666666675,12.333333333333332,18,0.6,0.5,0.8,30,0.36666666666666664,0.23333333333333334,0.4666666666666666,30,9.2,8.1,10.3,30,0.6333333333333333,0.5333333333333333,0.7666666666666667,30,2.0100000000000002,0.3,3.9299999999999997,19,0.2875,0.18333333333333335,0.3875,30,0.0,0.0,0.0,30,555.8,542.3333333333334,569.2666666666667,30
pipeline,30,5,0.11904761904761903,0.0857142857142857,0.15238095238095237,30,0.225,0.2,0.25,30,5.516666666666667,4.216666666666667,6.3,24,5.3,4.2,6.2,24,0.8333333333333334,0.6,1.0666666666666669,30,0.26666666666666666,0.19999999999999998,0.3333333333333333,30,9.366666666666667,6.7666666666666675,11.966666666666667,30,0.7333333333333333,0.6666666666666666,0.8,30,5.35,3.22,7.4799999999999995,22,0.0375,0.024999999999999998,0.05,30,0.0,0.0,0.0,30,259.0,246.93333333333334,271.06666666666666,30
dag,30,5,0.29047619047619044,0.20952380952380953,0.37142857142857144,30,0.35416666666666663,0.3083333333333333,0.4,30,3.677777777777778,2.738888888888889,4.75,27,4.733333333333333,4.0,5.533333333333333,27,1.3,1.1,1.5,30,0.29999999999999993,0.19999999999999998,0.4333333333333333,30,10.433333333333334,8.6,12.566666666666666,30,0.7,0.5666666666666667,0.8,30,5.970000000000001,4.85,7.0200000000000005,21,0.07500000000000001,0.05416666666666666,0.09583333333333335,30,0.0,0.0,0.0,30,473.2,456.91666666666663,490.1333333333333,30
graph,30,5,0.14761904761904762,0.09999999999999998,0.2,30,0.22916666666666669,0.2,0.26250000000000007,30,2.6166666666666667,1.7888888888888892,3.4666666666666663,18,3.066666666666667,1.6666666666666667,4.466666666666667,17,0.7333333333333333,0.5333333333333333,0.9333333333333332,30,0.06666666666666667,0.0,0.13333333333333333,30,1.7333333333333332,0.4666666666666666,3.0,30,0.9333333333333333,0.8666666666666668,1.0,30,0.3333333333333333,0.0,0.7333333333333333,28,0.025,0.0,0.06666666666666668,30,0.0,0.0,0.0,30,1298.8666666666668,1284.5333333333333,1313.2000000000003,30
